 ,id,team,inven_sortingindex,name,level,sortorder,"ad type
1=new
2=hot
3=new+hot
4=event
5=event+new
6=event+hot
7=event+hot+new",ImageName,"main product
0=첫번째
1
2
3","BuyerType
0=개인
1=클랜
공백=값을 사용 안함 (값이 있을경우 최우선적용,item.csv에 없는 아이템일경우  값기입필수)",사용,FabExtraItemID(제조비법있는 상품일경우),shop type
90017,,,,ChnZ4NewUserCoupon,,,,ChnCouponbox,,,,,
90016,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90015,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90014,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90013,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90012,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90011,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90010,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90009,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90008,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90007,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90006,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90005,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90004,,,,ChnCoupon,,,,ChnCouponbox,,,,,
90003,,,,ChnOPCoupon2013,,,,ChnCouponbox,,,,,
90002,,,,ChnCouponbox01,,,,ChnCouponbox,,,,,
90001,,,,NewUserSet01,0,,,NewUserSet,,0,,,
90000,,,,ChnCouponbox,,,,ChnCouponbox,,,,,
40002,,0,,DefeatInvalidation140000,0,,,,,0,,,
40001,,0,,DefeatInvalidation40000,0,,,,,0,,,
40000,,0,,DefeatInvalidation14000,0,,,,,0,,,
30183,8555,,,buffsg552exsale,,,3,buffsg552exsale,0,0,,,
30182,8100,,,turbulent11,,,3,turbulent11,0,0,,,
30181,8077,,,turbulent3,,,3,turbulent3,0,0,,,
30180,8086,,,turbulent1,,,3,turbulent1,0,0,,,
30179,8045,,,charger5,,,3,charger5,0,0,,,
30178,8041,,,turbulent9,,,3,turbulent9,0,0,,,
30177,918,,,crow11,,,3,,,,,,
30176,923,,,crow3,,,3,crow3,0,0,,,
30175,981,,,charger7,,,3,charger7,,,,,
30174,848,,,crow5,,,,crow5,0,0,,,
30173,842,,,crow7,,,,crow7,0,0,,,
30172,969,,,crow1,,,3,crow1,0,0,,,
30171,962,,,turbulent5,,,,,0,0,,,
30170,895,,,crow9,,,,,0,0,,,
30169,833,,,vulcanus11,,,,,0,0,,,
30168,816,,,vulcanus9,,,,,0,0,,,
30167,787,,,vulcanus7,,,,,0,0,,,
30166,804,,,vulcanus5,,,,,0,0,,,
30165,867,,,vulcanus3,,,,,0,0,,,
30164,858,,,vulcanus1,,,,,0,0,,,
30163,934,,,blackfridayturbulent7,,,,blackfridayturbulent7,,,,,
30162,934,,,turbulent7,,,1,turbulent7,,,,,
30161,753,,,,,,,,,,,,
30160,766,,,,,,,,,,,,
30159,767,,,,,,,,,,,,
30158,768,,,,,,,,,,,,
30157,840,,,janus7xmas,,,,janus7xmas,,,,,
30156,792,,,,,,,,,,,,
30155,760,,,,,,,,,,,,
30154,759,,,,,,,,,,,,
30153,591,,,m1887xmassale,,,,m1887xmas,,,,,
30152,751,,,tomahawk_xmas,,,,tomahawk_xmas,,,,,
30151,747,,,,,,3,,,,,,
30150,746,,,,,,3,,,,,,
30149,745,,,,,,3,,,,,,
30148,744,,,,,,3,,,,,,
30147,743,,,,,,,,,,,,
30146,742,,,,,,,,,,,,
30145,741,,,,,,,,,,,,
30144,733,,,,,,,,,,,,
30143,597,,,,,,,,,,,,
30142,596,,,,,,,,,,,,
30141,597,,,,,,,,,,,,
30140,596,,,,,,,,,,,,
30139,724,,,,,,,,,,,,
30138,723,,,,,,,,,,,,
30137,722,,,,,,,,,,,,
30136,721,,,,,,,,,,,,
30135,718,,,,,,,,,,,,
30134,717,,,,,,,,,,,,
30133,716,,,,,,,,,,,,
30132,715,,,,,,,,,,,,
30131,714,,,,,,,,,,,,
30130,713,,,,,,,,,,,,
30129,711,,,,,,,,,,,,
30128,710,,,,,,,,,,,,
30127,709,,,,,,,,,,,,
30126,702,,,,,,,,,,,,
30125,701,,,,,,,,,,,,
30124,699,,,,,,,,,,,,
30123,706,,,,,,,,,,,,
30122,684,,,,,,,,,,,,
30121,681,,,,,,,,,,,,
30120,680,,,,,,,,,,,,
30119,679,,,,,,,,,,,,
30118,673,,,,,,,,,,,,
30117,669,,,,,,,,,,,,
30116,668,,,,,,,,,,,,
30115,608,,,,,,,,,,,,
30114,267,,,m134xmassale,0,,,M134_Xmas,,0,,,
30113,268,,,mg3xmassale,0,,,MG3_Xmas,,0,,,
30112,424,,,m95xmassale,0,,,m95xmas,,0,,,
30111,503,,,mg36xmassale,0,,,mg36xmas,,0,,,
30110,591,,,m1887xmas,0,,,m1887xmas,,0,,,
30109,588,,,,,,,,,,,,
30108,598,,,,,,,,,,,,
30107,595,,,,,,,,,,,,
30106,593,,,,,,,,,,,,
30105,592,,,,,,,,,,,,
30104,587,,,,,,,,,,,,
30103,585,,,,,,,,,,,,
30102,579,,,,,,3,,,,,,
30101,577,,,,,,,,,,,,
30100,556,,,,,,,,,,,,
30099,561,,,,,,,,,,,,
30098,562,,,,,,,,,,,,
30097,554,,,,,,,,,,,,
30096,538,,,,,,,,,,,,
30095,524,,,,,188,2,,,,,,
30094,527,,,,,,,,,,,,
30093,532,,,,,,,,,,,,
30092,516,,,,,,,,,,,,
30091,515,,,,,,,,,,,,
30090,519,,,,,,,,,,,,
30089,520,,,,,,,,,,,,
30088,518,,,,,,,,,,,,
30087,517,,,,,,,,,,,,
30086,512,,,,,,,,,,,,
30085,511,,,,,,,,,,,,
30084,510,,,,,,,,,,,,
30083,509,,,,,,,,,,,,
30082,267,,,,0,,,,,0,,,
30081,268,,,,0,,,,,0,,,
30080,503,,,,,,,,,,,,
30079,504,,,,,,,,,,,,
30078,493,,,,,,,,,,,,
30077,472,,,,,,,,,,,,
30076,482,,,,,,,,,,,,
30075,469,,,,,,,,,,,,
30074,149,,,,,,3,,,,,,
30073,466,,,,,,,,,,,,
30072,463,0,,,,,,,,,,,
30071,442,,,,,,,,,,,,
30070,437,,,,,,,,,,,,
30069,436,,,,,,,,,,,,
30068,433,,,,,,,,,,,,
30067,432,,,,,,,,,,,,
30066,363,,,,,,,,,,,,
30065,327,,,,,,,,,,,,
30064,427,,,,,,,,,,,,
30063,431,0,,,0,,,,,0,,,
30062,427,0,,,0,,,,,0,,,
30061,426,,,,0,,,,,0,,,
30060,425,,,,0,,,,,0,,,
30059,424,0,,,0,,,,,0,,,
30058,422,0,,,0,,,,,0,,,
30057,419,,,,0,,,,,0,,,
30056,418,,,,0,,,,,0,,,
30055,417,0,,,,,,,,0,,,
30054,414,0,,,,,,,,0,,,
30053,407,0,,,0,,,,,0,,,
30052,400,0,,,0,,,,,0,,,
30051,389,,,,,,,,,,,,
30050,385,,,,,,,,,0,,,
30049,384,,,,,,,,,0,,,
30048,382,0,,,0,,,,,0,,,
30047,372,,,,,,,,,,,,
30046,371,0,,,0,,,,,0,,,
30045,370,0,,,0,,,,,0,,,
30044,367,0,,,0,,,,,0,,,
30043,,,,EventDecoderSet8,,,,EventDecoderSet8,,0,,,
30042,,,,M79EVENT,,,,M79EVENT,,0,,,
30041,363,,,SkullaxeAt4,,,,SkullaxeAt4,,,,,
30040,355,0,,,0,,,,,0,,,
30039,345,,,,,,,,,,,,
30038,344,,,,,,,,,,,,
30037,337,,,,0,,,,,0,,,
30036,330,,,,,,,,,,,,
30035,329,,,,,,,,,,,,
30034,328,,,,,,,,,,,,
30033,327,,,,,,,,,,,,
30032,312,,,,,,,,,,,,
30031,311,,,,,,,,,,,,
30030,322,,,,0,,,,,0,,,
30029,319,,,,,,,,,,,,
30028,318,,,,,,,,,,,,
30027,307,,,,,,,,,,,,
30026,,,,EventDecoderSet7,,,,EventDecoderSet7,,0,,,
30024,304,,,,,,,,,,,,
30023,271,0,,,0,,3,,,0,,,
30022,267,,,m134sale,0,,,,,0,,,
30021,268,,,mg3sale,0,,,,,0,,,
30020,261,,,,,,,,,,,,
30019,255,,,,,,,,,,,,
30018,248,,,,0,,,,,0,,,
30017,242,,,,0,,,,,0,,,
30016,,,,NewUserSet,0,,,NewUserSet,,0,,,
30015,231,0,,SDWspraySet1,0,,,SDWspraySet1,,0,,,
30014,211,,,JKnifeEvent,,,,JKnife,,,,,
30013,233,,,,,,3,,,,,,
30012,,,,Yuricriss,,,,Yuricriss,,0,,,
30011,213,,,,,,,,,,,,
30010,197,0,,,0,,,,,0,,,
30009,187,,,,0,,,,,0,,,
30008,148,0,,,0,,,,,0,,,
30006,57,2,,sdefence,0,,,,,0,,,
30005,56,2,,magui,0,,,,,0,,,
30004,55,2,,sozo,0,,,,,0,,,
30003,48,1,,JRA,0,,,,,0,,,
30002,47,1,,ETA,0,,,,,0,,,
30001,46,1,,IRA,0,,,,,0,,,
30000,,0,,ResetPcbangEvent,,,,ResetPcbang,,0,,,
20400,,0,51,vxlweaponset02,,1012,3,vxlweaponset02,,,,,
20399,,,20,buffclasshunterluckybox2key_50sale,,876,3,buffclasshunterluckybox2key_50sale,,,,,
20398,,,20,skull13459set,,884,3,skull13459set,,,,,
20397,,,20,sterlingbayonet150classdecoderp50,,896,3,sterlingbayonet150classdecoderp50,,,,,
20396,,,20,sterlingbayonetclassdecoderp,,895,3,sterlingbayonetclassdecoderp,,,,,
20395,,,20,dfpistolclassdecoder100,,882,3,dfpistolclassdecoder100,,,,,
20394,,,20,dfpistolclassdecoder,,881,3,dfpistolclassdecoder,,,,,
20393,,,20,arin1504g4decoderp50,,900,3,arin1504g4decoderp50,,,,,
20393,,,20,arin1504g4decoderp50,,781,3,arin1504g4decoderp50,,,,,
20392,,,20,aring4decoderp,,899,3,aring4decoderp,,,,,
20392,,,20,aring4decoderp,,780,3,aring4decoderp,,,,,
20391,,,20,davidblackg4decoder100,,898,3,davidblackg4decoder100,,,,,
20391,,,20,davidblackg4decoder100,,788,3,davidblackg4decoder100,,,,,
20390,,,20,davidblackg4decoder,,897,3,davidblackg4decoder,,,,,
20390,,,20,davidblackg4decoder,,787,3,davidblackg4decoder,,,,,
20389,,,20,boxxergirl30g5decoderp10,,894,3,boxxergirl30g5decoderp10,,,,,
20388,,,20,boxxergirlg5decoderp,,893,3,boxxergirlg5decoderp,,,,,
20387,,,20,gerrardg5decoder100,,892,3,gerrardg5decoder100,,,,,
20386,,,20,gerrardg5decoder,,891,3,gerrardg5decoder,,,,,
20385,2241,,20,buffpernandotransbox10,,776,,buffpernandotransbox10,,,,,
20384,2240,,20,buffpernandotransbox5,,775,,buffpernandotransbox5,,,,,
20383,2239,,20,buffpernandotransbox1,,774,,buffpernandotransbox1,,,,,
20382,2238,,20,pernandotransboxm100,,773,,pernandotransboxm100,,,,,
20381,2237,,20,pernandotransboxm50,,772,,pernandotransboxm50,,,,,
20380,2236,,20,pernandotransboxm10,,771,,pernandotransboxm10,,,,,
20379,2235,,20,pernandotransboxm1,,770,,pernandotransboxm1,,,,,
20378,,,20,buffaugtopdecoderclassS,,,3,buffaugtopdecoderclassS,,,,,
20377,,,20,luckyboxkey6lisa100,,,3,luckyboxkey6lisa100,,,,,
20376,,,20,luckyboxkey6lisa30,,,3,luckyboxkey6lisa30,,,,,
20375,,,20,enhrunebladeset,,200,3,enhrunebladeset,,,,,
20374,,,20,milapartsweaponbox100,,195,3,milapartsweaponbox100,,,,,
20373,,,20,milapartsweaponbox30,,205,3,milapartsweaponbox30,,,,,
20372,,0,,monkeywpnset,,,3,monkeywpnset,,0,,,
20371,,,20,buffclasshunterluckybox2key,,876,3,buffclasshunterluckybox2key,,,,,
20370,,,20,desperadoluckybox100,,,3,desperadoluckybox100,,,,,
20369,,,20,desperadoluckybox1,,,3,desperadoluckybox1,,,,,
20368,,,20,buffchoi1binggoticket100,,,3,buffchoi1binggoticket100,,,,,
20367,,,20,buffchoi30binggoticket30,,,3,buffchoi30binggoticket30,,,,,
20366,,,20,buffchoi1binggoticket1,,,3,buffchoi1binggoticket1,,,,,
20365,,,,seasonpass15grade,,,3,seasonpass15grade,,,,,
20364,,,20,buffclassyuri100topdecoderEPIC100,,902,3,buffclassyuri100topdecoderEPIC100,,,,,
20363,,,20,buffclassyuritopdecoderEPIC,,901,3,buffclassyuritopdecoderEPIC,,,,,
20362,8147,,,transboxkeyset100p,,,3,transboxkeyset100p,,,,,
20361,8147,,,transboxkeyset50p,,,3,transboxkeyset50p,,,,,
20360,8147,,,transboxkeyset10P,,,3,transboxkeyset10P,,,,,
20359,8144,0,,luckyboxkey05_50sale,,,3,luckyboxkey05_50sale,,,,,
20358,8125,0,,luckyboxkey02_50sale,,,3,luckyboxkey02_50sale,,,,,
20357,8116,0,,luckyboxkey_pluseone,,,3,luckyboxkey_pluseone,,,,,
20356,,,20,gerrardtop50decodersb100,,767,3,gerrardtop50decodersb100,,,,,
20355,,,20,boxergirltop50decodersa10,,769,3,boxergirltop50decodersa10,,,,,
20354,,,20,turbulent3chn9thkey100,,,3,turbulent3chn9thkey100,,,,,
20353,,,20,turbulent3chn9thkey,,,3,turbulent3chn9thkey,,,,,
20352,,,20,davidtop50decoder100,,496,3,davidtop50decoder100,,,,,
20351,,,20,gerrardtop50decodersb5000mileage,,,3,gerrardtop50decodersb5000mileage,,,,,
20350,,,20,turbulent7top30classdecoder100,,494,3,turbulent7top30classdecoder100,,,,,
20349,,,20,turbulent7top30classdecoder,,493,3,turbulent7top30classdecoder,,,,,
20348,,,20,alintop50unlimitdecoder30,,498,3,alintop50unlimitdecoder30,,,,,
20347,,,20,davidtop50decoder5000mileage,,,3,davidtop50decoder5000mileage,,,,,
20346,,,51,vxlcheerupset01,,189,3,vxlcheerupset01,,,,,
20345,,,36,vxlweaponset01,,386,3,vxlweaponset01,,,,,
20344,,,,WeaponPaintNational2000mileage,,,,WeaponPaintNational2000mileage,,,,,
20343,,,,sfpistolPaintset,,,,sfpistolPaintset,,,,,
20342,,,,petrolboomerPaintset,,,,petrolboomerPaintset,,,,,
20341,,,,chainsawmPaintset,,,,chainsawmPaintset,,,,,
20340,,,,airbursterPaintset,,,,airbursterPaintset,,,,,
20339,,,20,boxergirltop50decodersb10p2000m,,,3,boxergirltop50decodersb10p2000m,,,,,
20338,,,20,buffclassBtop50decodersbset,,,3,buffclassBtop50decodersbset,,,,,
20337,,,20,buffclassAtop50decodersbset,,,3,buffclassAtop50decodersbset,,,,,
20336,,,20,gerrardtop50decodersb,,766,3,gerrardtop50decodersb,,,,,
20335,,,20,boxergirltop50unlimitdecoder,,768,3,boxergirltop50unlimitdecoder,,,,,
20334,,,20,davidtop50decoder,,495,3,davidtop50decoder,,,,,
20333,,,20,alintop50unlimitdecoder,,497,3,alintop50unlimitdecoder,,,,,
20332,,,,crow15000mileage,,,,crow15000mileage,,,,,
20331,,0,,destroyerpaintset,,,,destroyerpaintset,,,,,
20330,,0,,laserminigunpaintset,,,,laserminigunpaintset,,,,,
20329,,,,m950sepaintset,,,,m950sepaintset,,,,,
20328,,,,pandora2016,,,,pandora2016,,,,,
20327,744,,,blackfridaydecoderset,,,,blackfridaydecoderset,,,,,
20326,923,,,FabExtracrow3set_mdecoder50,,,,FabExtracrow3set_mdecoder50,,,,7106,
20325,923,,,FabExtracrow3set,,,,FabExtracrow3set,,,,7106,
20324,,0,,infinityex2paintset,,,,infinityex2paintset,,,,,
20323,,0,,bowpaintset,,,,bowpaintset,,,,,
20322,918,,,FabExtracrow11set_mdecoder50,,,,FabExtracrow11set_mdecoder50,,0,,7105,
20321,918,,,FabExtracrow11set,,,,FabExtracrow11set,,0,,7105,
20320,,,,pirategirl25000mileage,,,,pirategirl25000mileage,,,,,
20319,,,,alice25000mileage,,,,alice25000mileage,,,,,
20318,,,,choijiyoon25000mileage,,,,choijiyoon25000mileage,,,,,
20317,,,,yuri25000mileage,,,,yuri25000mileage,,,,,
20316,895,,,FabExtracrow9set,,,,FabExtracrow9set,,0,,7104,
20315,,0,,spriflepaintset,,,,spriflepaintset,,,,,
20314,,0,,sfsniperpaintset,,,,sfsniperpaintset,,,,,
20313,,0,,plasmagunpaintset,,,,plasmagunpaintset,,,,,
20312,504,0,,FabExtrabalrog9setWeaponPaintPoison,,,,FabExtrabalrog9setWeaponPaintPoison,0,0,,7053,
20311,466,0,,FabExtrabalrog7setWeaponPaintPoison,,,,FabExtrabalrog7setWeaponPaintPoison,0,0,,7070,
20310,482,0,,FabExtrabalrog5setWeaponPaintPoison,,,,FabExtrabalrog5setWeaponPaintPoison,0,0,,7103,
20309,517,0,,FabExtrabalrog1setWeaponPaintPoison,,,,FabExtrabalrog1setWeaponPaintPoison,0,0,,7071,
20308,466,0,,FabExtrabalrog7set,,,,FabExtrabalrog7set,0,0,,7070,
20307,482,0,,FabExtrabalrog5set,,,,FabExtrabalrog5set,0,0,,7103,
20306,517,0,,FabExtrabalrog1set,,,,FabExtrabalrog1set,0,0,,7071,
20305,843,0,,tsdecoder,,,,tsdecoder,,0,,,
20304,774,0,,mdecoder,,,,mdecoder,,0,,,
20303,843,0,,tsdecoder100p5000mileage,,,,tsdecoder100p5000mileage,,0,,,
20302,437,0,,FabExtraskull11setWeaponPaintBlood,,,,FabExtraskull11setWeaponPaintBlood,0,0,,7045,
20301,363,0,,FabExtraskull9setWeaponPaintBlood,,,,FabExtraskull9setWeaponPaintBlood,0,0,,7027,
20300,327,0,,FabExtraskull7setWeaponPaintBlood,,,,FabExtraskull7setWeaponPaintBlood,0,0,,7078,
20299,327,0,,FabExtraskull7set,,,,FabExtraskull7set,,0,,7045,
20298,867,0,,FabExtravulcanus3set_mdecoder50,,,,FabExtravulcanus3set_mdecoder50,,0,,7102,
20297,867,0,,FabExtravulcanus3set,,,,FabExtravulcanus3set,,0,,7102,
20296,,,,mdecodersupplyboxPointExpUpbalrog11,,,,mdecodersupplyboxPointExpUpbalrog11,0,0,,,
20295,,,,mdecodersupplyboxPointExpUpSkull9,,,,mdecodersupplyboxPointExpUpSkull9,0,0,,,
20294,554,0,,FabExtrabalrog11setWeaponPaiontPoison,,,,FabExtrabalrog11setWeaponPaiontPoison,0,0,,7044,
20293,532,0,,FabExtrabalrog3setWeaponPaiontPoison,,,,FabExtrabalrog3setWeaponPaiontPoison,0,0,,7100,
20292,532,0,,FabExtrabalrog3set,,,,FabExtrabalrog3set,0,0,,7100,
20291,858,,,FabExtravulcanus1set_mdecoder50,,,,FabExtravulcanus1set_mdecoder50,,0,,7098,
20290,,,,mdecodersupplyboxPointExpUpSkull4,,,,,0,0,,,
20289,858,0,,FabExtravulcanus1set,,,,,0,0,,7098,
20288,,0,,FabExtraskull5setWeaponPaintBlood,,,,,0,0,,7086,
20287,367,0,,FabExtraskull5set,,,,,0,0,,7086,
20286,,0,,FabExtraskull3setWeaponPaintBlood,,,,,0,0,,7099,
20285,427,0,,FabExtraskull3set,,,,,0,0,,7099,
20284,,0,,FabExtraskull1setWeaponPaintBlood,,,,,0,0,,7069,
20283,407,0,,FabExtraskull1set,,,,,0,0,,7069,
20282,848,0,,fabextracrow5set_mdecoder,,,,fabextracrow5set_mdecoder,,0,,7095,
20281,848,0,,FabExtracrow5set,,,,FabExtracrow5set,,0,,7095,
20280,846,,,FabExtrahk121set,,,,FabExtrahk121set,,0,,7091,
20279,842,,,FabExtracrow7set_mdecoder50,,,,FabExtracrow7set_mdecoder50,,0,,7089,
20278,842,,,FabExtracrow7set,,,,FabExtracrow7set,,0,,7089,
20277,840,,,janus7xmas_mdecoder50,,,,janus7xmas_mdecoder50,,0,,,
20276,833,,,FabExtravulcanus11set,,,,FabExtravulcanus11set,,0,,7087,
20275,833,,,FabExtravulcanus11set_pandorabox50,,,,FabExtravulcanus11set_pandorabox50,,0,,7087,
20274,,,,WeaponPaint_ChoiJiYoon_Galaxy_set,,,,WeaponPaint_ChoiJiYoon_Galaxy_set,,0,,,
20273,834,,,FabExtrathanatos3set_pandorabox50,,,,FabExtrathanatos3set_pandorabox50,,0,,7088,
20272,834,,,FabExtrathanatos3set,,,,FabExtrathanatos3set,,0,,7088,
20271,538,,,FabExtraskull4set_mdecoder50,,,,FabExtraskull4set_mdecoder50,,0,,7061,
20270,538,,,fabextraskull4set,,,,fabextraskull4set,,0,,7061,
20269,367,,,fabextraskull5set_mdecoder50,,,,fabextraskull5set_mdecoder50,,0,,7086,
20268,367,,,fabextraskull5set,,,,fabextraskull5set,,0,,7086,
20267,816,0,,FabExtravulcanus9set_mdecoder50,,,,FabExtravulcanus9set_mdecoder50,,0,,7084,
20266,816,0,,FabExtravulcanus9set,,,,FabExtravulcanus9set,,0,,7084,
20265,812,,,FabExtrathanatos1set,,,,FabExtrathanatos1set,,0,,7079,
20264,422,0,,FabExtraspas12set,,,,FabExtraspas12set,,0,,7063,
20263,248,0,,FabExtracombatknifeset,,,,FabExtracombatknifeset,,0,,7013,
20262,812,0,,FabExtrathanatos1set_mdecoder50,,,,FabExtrathanatos1set_mdecoder50,,0,,7079,
20261,,,,weaponpaint123_eagle_remove_set,,,,weaponpaint123_eagle_remove_set,,0,,,
20260,385,0,,FabExtraas50set_enhadv50p,,,,FabExtraas50set_enhadv50p,,0,,7002,
20259,304,0,,FabExtraM14ebrset_enhadv50p,,,,FabExtraM14ebrset_enhadv50p,,0,,7032,
20258,304,0,,FabExtraM14ebrset,,,,FabExtraM14ebrset,,0,,7032,
20257,804,0,,FabExtravulcanus5set_mdecoder50,,,,FabExtravulcanus5set_mdecoder50,,0,,7076,
20256,804,0,,FabExtravulcanus5set,,,,FabExtravulcanus5set,,0,,7076,
20255,743,0,,FabExtraozwpnset3set,,,,FabExtraozwpnset3set,,0,,7075,
20254,742,0,,FabExtraozwpnset2set,,,,FabExtraozwpnset2set,,0,,7074,
20253,741,0,,FabExtraozwpnset1set,,,,FabExtraozwpnset1set,,0,,7073,
20252,,0,,jinset,,,,jinset,,0,,,
20251,792,0,,airburster_mdecoder100,,,,airburster_mdecoder100,,0,,,
20250,,0,,fabextraozwpnset_mdecoder50,,,,fabextraozwpnset_mdecoder50,,0,,,
20249,595,0,,FabExtrajanus7set_mdecoder50,,,,FabExtrajanus7set_mdecoder50,,0,,7037,
20248,595,0,,FabExtrajanus7set,,,,FabExtrajanus7set,,0,,7037,
20247,598,0,,FabExtrajanus1set_mdecoder50,,,,FabExtrajanus1set_mdecoder50,,0,,7072,
20246,598,0,,FabExtrajanus1set,,,,FabExtrajanus1set,,0,,7072,
20245,,0,,jinset_mdecoder50,,,,jinset_mdecoder50,,0,,,
20244,,0,,mdecoder10p_add5set,,,,mdecoder10p_add5set,,0,,,
20243,717,0,,FabExtracannonmset,,,,FabExtracannonmset,,0,,7025,
20242,718,0,,FabExtrachainsawmset,,,,FabExtrachainsawmset,,0,,7026,
20241,,0,,FabExtramonkeywpnset_mdecoder50,,,,FabExtramonkeywpnset_mdecoder50,,0,,,
20240,681,0,,FabExtramonkeywpnset3set,,,,FabExtramonkeywpnset3set,,0,,7058,
20239,679,0,,FabExtramonkeywpnset1set,,,,FabExtramonkeywpnset1set,,0,,7056,
20238,680,0,,FabExtramonkeywpnset2set,,,,FabExtramonkeywpnset2set,,0,,7057,
20237,787,0,,FabExtravulcanus7set_mdecoder50,,,,FabExtravulcanus7set_mdecoder50,,0,,7067,
20236,787,0,,FabExtravulcanus7set,,,,FabExtravulcanus7set,,0,,7067,
20235,717,0,,FabExtracannonmset_mdecoder50,,,,FabExtracannonmset_mdecoder50,,0,,7025,
20234,718,0,,FabExtrachainsawmset_mdecoder50,,,,FabExtrachainsawmset_mdecoder50,,0,,7026,
20233,,0,,mdecoder100p5000mileage,,,,mdecoder100p5000mileage,,0,,,
20232,706,0,,FabExtrapetrolboomerset_mdecoder50,,,,FabExtrapetrolboomerset_mdecoder50,,0,,7062,
20231,706,0,,FabExtrapetrolboomerset,,,,FabExtrapetrolboomerset,,0,,7062,
20230,538,0,,FabExtraskull4set_mdecoder50,,,,FabExtraskull4set_mdecoder50,,0,,7061,
20229,538,0,,FabExtraskull4set,,,,FabExtraskull4set,,0,,7061,
20228,752,0,,FabExtrathanatos7set_mdecoder50,,,,FabExtrathanatos7set_mdecoder50,,0,,7001,
20227,784,0,,fabextrathanatos5set_mdecoder50,,,,fabextrathanatos5set_mdecoder50,,0,,7055,
20226,784,0,,FabExtraThanatos5set,,,,FabExtraThanatos5set,,0,,7055,
20225,774,0,,MdecoderBonusEvent,,,,MdecoderBounsEvent,,0,,,
20224,587,0,,FabExtraJanus5Set_mdecoder50,,,,FabExtraJanus5Set_mdecoder50,,0,,7054,
20223,587,0,,FabExtraJanus5Set,,,,FabExtraJanus5Set,,0,,7054,
20222,776,0,,FabExtraThanatos9set_mdecoder50,,,,FabExtraThanatos9set_mdecoder50,,0,,7050,
20221,776,0,,FabExtraThanatos9set,,,,FabExtraThanatos9set,,0,,7050,
20220,504,0,,FabExtraBalrog9Set_mdecoder50,,,,FabExtraBalrog9Set_mdecoder50,,0,,7053,
20219,504,0,,FabExtraBalrog9Set,,,,FabExtraBalrog9Set,,0,,7053,
20218,673,0,,FabExtraJanus9Set_mdecoder50,,,,FabExtraJanus9Set_mdecoder50,,0,,7030,
